Sample,PESQ
0,4.146492004394531
1,4.177706241607666
2,1.8485521078109741
3,1.758389949798584
4,1.9706590175628662
5,1.9295926094055176
6,2.1611292362213135
7,4.256142616271973
8,2.0122454166412354
9,1.865080714225769
10,4.025019645690918
11,2.1183290481567383
12,4.126791000366211
13,1.9540205001831055
14,4.287006855010986
15,2.295623540878296
16,4.124240398406982
17,1.8889153003692627
18,1.755364179611206
19,4.343868255615234
20,4.141502857208252
21,4.269032955169678
22,1.81934654712677
23,4.096039295196533
24,4.186315536499023
25,2.1135194301605225
26,1.9089359045028687
27,4.226457118988037
28,4.126447677612305
29,4.082396507263184
30,4.169867992401123
31,4.114777088165283
32,4.0567545890808105
33,1.725492000579834
34,4.245620250701904
35,4.238797187805176
36,2.266786813735962
37,4.224065780639648
38,1.730884313583374
39,1.8945375680923462
40,1.9398093223571777
41,1.8471583127975464
42,4.03842830657959
43,4.1691389083862305
44,4.16168737411499
45,2.3995702266693115
46,3.143429756164551
47,3.001314878463745
48,4.02928352355957
49,1.8425017595291138

Sample,PESQ
Mean,3.1051013684272766
Median,3.5842247009277344
Std Dev,1.0985826376798444
Min,1.725492000579834
Max,4.343868255615234
