Sample,PESQ
0,2.9675681591033936
1,2.8498122692108154
2,3.060992956161499
3,2.8595354557037354
4,2.8927409648895264
5,2.835777997970581
6,2.7616465091705322
7,2.9571359157562256
8,3.018336534500122
9,2.8278589248657227
10,3.2006912231445312
11,2.836731433868408
12,2.995645761489868
13,3.442046642303467
14,2.951141595840454
15,3.0304527282714844
16,2.892692804336548
17,3.2099897861480713
18,3.049276351928711
19,3.0882837772369385
20,2.83734130859375
21,3.041775941848755
22,2.929093837738037
23,3.116126537322998
24,2.6862339973449707
25,3.000868320465088
26,2.945887565612793
27,2.7906744480133057
28,3.0112686157226562
29,3.0439035892486572
30,2.7972497940063477
31,2.9649758338928223
32,3.2093448638916016
33,2.9039711952209473
34,3.0035605430603027
35,2.5538787841796875
36,3.4035227298736572
37,3.5084228515625
38,2.4615261554718018
39,3.075319766998291
40,3.128303050994873
41,2.8208365440368652
42,2.9841842651367188
43,2.8962771892547607
44,3.3476970195770264
45,2.849689245223999
46,3.2883594036102295
47,3.2359437942504883
48,2.958033800125122
49,3.0815420150756836

Sample,PESQ
Mean,2.9920834159851073
Median,2.975876212120056
Std Dev,0.20494620585737572
Min,2.4615261554718018
Max,3.5084228515625
