RT60,DRR,C50,
0.562744081,-0.663957596,10.81930923,
0.873369366,-3.321323395,7.68215394,
0.783725917,0.891723633,7.842788219,
0.754931688,-7.550230026,4.143936872,
0.704523057,1.188526154,9.027688026,
0.83521986,0.028362274,9.727667332,
0.906609938,0.339040756,8.910154343,
0.93686083,0.857868195,10.26846504,
0.611929804,-0.153694153,10.9494729,
0.702371567,1.711330414,13.02961254,
0.697705686,-0.126895905,9.799554825,
0.786202803,2.703342438,10.78656769,
0.754990116,-0.653896332,9.292841911,
0.551424176,3.055419922,12.57593012,
0.409310549,-8.38968277,6.119835854,
0.71628955,4.19260025,11.8472333,
0.969888255,-2.291545868,7.598321676,
0.58413434,0.894260406,13.11990643,
0.642594159,0.611591339,12.09224415,
0.482607991,0.498495102,14.3565464,
0.764534667,-0.107746124,7.584491491,
0.592717856,-0.779533386,10.31455326,
0.850538358,2.535171509,11.66124392,
0.562559992,1.356334686,13.59101105,
0.826685384,0.269527435,9.741038322,
0.572101146,1.18686676,11.64552689,
0.883060813,0.717372894,11.28927088,
0.552603453,-5.15291214,5.651899099,
0.879215017,1.218166351,10.43437862,
0.785860419,-0.864467621,6.110762119,
0.751303956,-5.640821457,5.41747117,
0.815211296,-0.321426392,8.449935913,
0.844174191,-2.218742371,8.486326694,
0.749739379,-3.333625793,7.668959618,
0.703863859,1.544275284,11.32116842,
1.050488904,-1.937065125,7.518104315,
0.697022706,-0.067396164,10.76860905,
0.519648761,-0.74388504,11.41215611,
0.88657482,-9.367551804,4.543088913,
0.733506829,-1.209077835,10.02725935,
0.603067338,-0.887928009,11.0090394,
0.717476696,-8.654403687,5.210300207,
0.683463871,-1.790761948,9.020192146,
0.717262119,-1.374435425,8.121573448,
0.593624353,2.937860489,12.69844913,
0.877531216,-5.030536652,7.517632246,
0.680800706,2.570285797,10.48077583,
0.705342114,2.023448944,11.03450823,
1.004368678,-4.560985565,6.605718374,
0.649051934,0.969486237,14.02967739,
